Ticker symbol,Security,GICS Sector,Address of Headquarters,City,State,state_abv,lat,lon
MKC,McCormick & Co.,Consumer Staples,"Sparks, Maryland",Sparks,Maryland,MD,39.5303908,-76.6458407
MCD,McDonald's Corp.,Consumer Discretionary,"Oak Brook, Illinois",Oak Brook,Illinois,IL,41.8328085,-87.9289504
MCK,McKesson Corp.,Health Care,"San Francisco, California",San Francisco,California,CA,37.7790262,-122.419906
MJN,Mead Johnson,Consumer Staples,"Glenview, Illinois",Glenview,Illinois,IL,42.0863023,-87.8260949
MRK,Merck & Co.,Health Care,"Whitehouse Station, New Jersey",Whitehouse Station,New Jersey,NJ,40.61538,-74.7704409
MET,MetLife Inc.,Financials,"New York, New York",New York,New York,NY,40.7127281,-74.0060152
MTD,Mettler Toledo,Health Care,"Columbus, Ohio",Columbus,Ohio,OH,39.9622601,-83.0007065
KORS,Michael Kors Holdings,Consumer Discretionary,"New York, New York",New York,New York,NY,40.7127281,-74.0060152
MCHP,Microchip Technology,Information Technology,"Chandler, Arizona",Chandler,Arizona,AZ,33.3061605,-111.84125
MU,Micron Technology,Information Technology,"Boise, Idaho",Boise,Idaho,ID,43.6166163,-116.200886
MSFT,Microsoft Corp.,Information Technology,"Redmond, Washington",Redmond,Washington,WA,47.6694141,-122.1238767
MAA,Mid-America Apartments,Real Estate,"Memphis, Tennessee",Memphis,Tennessee,TN,35.1335022,-89.9668758
MHK,Mohawk Industries,Consumer Discretionary,"Amsterdam, New York",Amsterdam,New York,NY,40.782832,-73.978328
TAP,Molson Coors Brewing Company,Consumer Staples,"Denver, Colorado",Denver,Colorado,CO,39.7392364,-104.984862
MDLZ,Mondelez International,Consumer Staples,"Northfield, Illinois",Northfield,Illinois,IL,42.09975,-87.7808967
MON,Monsanto Co.,Materials,"Creve Coeur, Missouri",Creve Coeur,Missouri,MO,38.6613007,-90.4423653
MNST,Monster Beverage,Consumer Staples,"Corona, California",Corona,California,CA,33.8752945,-117.5664449
MCO,Moody's Corp,Financials,"New York, New York",New York,New York,NY,40.7127281,-74.0060152
MS,Morgan Stanley,Financials,"New York, New York",New York,New York,NY,40.7127281,-74.0060152
MSI,Motorola Solutions Inc.,Information Technology,"Schaumburg, Illinois",Schaumburg,Illinois,IL,42.0333608,-88.083406
MUR,Murphy Oil,Energy,"El Dorado, Arkansas",El Dorado,Arkansas,AR,33.20763,-92.6662674
NDAQ,NASDAQ OMX Group,Financials,"New York, New York",New York,New York,NY,40.7127281,-74.0060152
NOV,National Oilwell Varco Inc.,Energy,"Houston, Texas",Houston,Texas,TX,29.7589382,-95.3676974
NAVI,Navient,Financials,"Newark, Delaware",Newark,Delaware,DE,39.6775927,-75.7630866
NTAP,NetApp,Information Technology,"Sunnyvale, California",Sunnyvale,California,CA,37.3688301,-122.036349
NFLX,Netflix Inc.,Information Technology,"Los Gatos, California",Los Gatos,California,CA,37.226611,-121.9746797
NWL,Newell Brands,Consumer Discretionary,"Sandy Springs, Georgia",Sandy Springs,Georgia,GA,33.9242688,-84.3785379
NFX,Newfield Exploration Co,Energy,"Houston, Texas",Houston,Texas,TX,29.7589382,-95.3676974
NEM,Newmont Mining Corp. (Hldg. Co.),Materials,"Denver, Colorado",Denver,Colorado,CO,39.7392364,-104.984862
NWSA,News Corp. Class A,Consumer Discretionary,"New York, New York",New York,New York,NY,40.7127281,-74.0060152
NWS,News Corp. Class B,Consumer Discretionary,"New York, New York",New York,New York,NY,40.7127281,-74.0060152
NEE,NextEra Energy,Utilities,"Juno Beach, Florida",Juno Beach,Florida,FL,26.8797819,-80.0533743
NLSN,Nielsen Holdings,Industrials,"New York, New York",New York,New York,NY,40.7127281,-74.0060152
NKE,Nike,Consumer Discretionary,"Washington County, Oregon",Washington County,Oregon,OR,45.5601883,-123.0587907
NI,NiSource Inc.,Utilities,"Merrillville, Indiana",Merrillville,Indiana,IN,41.4828144,-87.3328139
NBL,Noble Energy Inc,Energy,"Houston, Texas",Houston,Texas,TX,29.7589382,-95.3676974
JWN,Nordstrom,Consumer Discretionary,"Seattle, Washington",Seattle,Washington,WA,47.6038321,-122.330062
NSC,Norfolk Southern Corp.,Industrials,"Norfolk, Virginia",Norfolk,Virginia,VA,36.8968052,-76.2602336
NTRS,Northern Trust Corp.,Financials,"Chicago, Illinois",Chicago,Illinois,IL,41.8755616,-87.6244212
